algorithm,num_servers,run_id,hit_rate,jfi
Optimal_QLRU,2,0,0.14976,0.9999888429656759
qlearning_balancer[qlearn],2,0,0.12066,0.9890558937723467
qlearning_balancer[lru],2,0,0.15831,0.9883269931140911
qlearning_balancer[oracle],2,0,0.16047,0.985856389836005
qlearning_balancer[nocache],2,0,0.0,0.9959057075464556
Optimal_QLRU,2,1,0.17627,0.9984940720123845
qlearning_balancer[qlearn],2,1,0.11012,0.9773335335031985
qlearning_balancer[lru],2,1,0.15691,0.9728059977436504
qlearning_balancer[oracle],2,1,0.15827,0.9783990961866346
qlearning_balancer[nocache],2,1,0.0,0.9318461383645065
Optimal_QLRU,2,2,0.14868,0.9998631409368015
qlearning_balancer[qlearn],2,2,0.1185,0.9966622334133142
qlearning_balancer[lru],2,2,0.15626,0.9966622334135683
qlearning_balancer[oracle],2,2,0.15772,0.9988122721449295
qlearning_balancer[nocache],2,2,0.0,0.9658493435265741
Optimal_QLRU,2,3,0.16445,0.999398995203304
qlearning_balancer[qlearn],2,3,0.11811,0.9980148101828887
qlearning_balancer[lru],2,3,0.15935,0.9967528436626437
qlearning_balancer[oracle],2,3,0.16106,0.9972926644600416
qlearning_balancer[nocache],2,3,0.0,0.9666301859481714
Optimal_QLRU,2,4,0.14998,0.9999751192986147
qlearning_balancer[qlearn],2,4,0.11472,0.9469754422165338
qlearning_balancer[lru],2,4,0.15671,0.977694568137682
qlearning_balancer[oracle],2,4,0.15979,0.9798626462636042
qlearning_balancer[nocache],2,4,0.0,0.9281955948893605
Optimal_QLRU,10,0,0.27526,0.48633042198004783
qlearning_balancer[qlearn],10,0,0.1213,0.391862304522235
qlearning_balancer[lru],10,0,0.15831,0.42695660759066933
qlearning_balancer[oracle],10,0,0.21526,0.47636728938127876
qlearning_balancer[nocache],10,0,0.0,0.32419556658272664
Optimal_QLRU,10,1,0.27551,0.4881835283214402
qlearning_balancer[qlearn],10,1,0.13331,0.31614238418598317
qlearning_balancer[lru],10,1,0.15691,0.27556110357609964
qlearning_balancer[oracle],10,1,0.21464,0.31671189888889356
qlearning_balancer[nocache],10,1,0.0,0.2377843799547932
Optimal_QLRU,10,2,0.27331,0.4883178356651959
qlearning_balancer[qlearn],10,2,0.13825,0.34712058306007887
qlearning_balancer[lru],10,2,0.15626,0.3240281393037769
qlearning_balancer[oracle],10,2,0.2139,0.3625363476038196
qlearning_balancer[nocache],10,2,0.0,0.26717843413800885
Optimal_QLRU,10,3,0.26814,0.4774241316129417
qlearning_balancer[qlearn],10,3,0.13112,0.3275358216424638
qlearning_balancer[lru],10,3,0.15935,0.3270363140089435
qlearning_balancer[oracle],10,3,0.21674,0.3652237243245447
qlearning_balancer[nocache],10,3,0.0,0.26939223131163964
Optimal_QLRU,10,4,0.27669,0.48873206143635756
qlearning_balancer[qlearn],10,4,0.1377,0.2552263597592683
qlearning_balancer[lru],10,4,0.15671,0.283228251341908
qlearning_balancer[oracle],10,4,0.21604,0.31087094951971467
qlearning_balancer[nocache],10,4,0.0,0.2357364939307005
Optimal_QLRU,20,0,0.2711,0.26639994668784084
qlearning_balancer[qlearn],20,0,0.12938,0.1974017119773715
qlearning_balancer[lru],20,0,0.15831,0.23061857261281116
qlearning_balancer[oracle],20,0,0.21526,0.26267653900402477
qlearning_balancer[nocache],20,0,0.0,0.168889419860367
Optimal_QLRU,20,1,0.26042,0.2583858898220803
qlearning_balancer[qlearn],20,1,0.13325,0.14646405554920316
qlearning_balancer[lru],20,1,0.15691,0.14239719264525752
qlearning_balancer[oracle],20,1,0.21464,0.16579569268971137
qlearning_balancer[nocache],20,1,0.0,0.12143063853721578
Optimal_QLRU,20,2,0.27322,0.2713000680901016
qlearning_balancer[qlearn],20,2,0.12631,0.14750945404622795
qlearning_balancer[lru],20,2,0.15626,0.16990834023345316
qlearning_balancer[oracle],20,2,0.2139,0.1929188231909223
qlearning_balancer[nocache],20,2,0.0,0.13750190011553534
Optimal_QLRU,20,3,0.27063,0.26625242156275675
qlearning_balancer[qlearn],20,3,0.13204,0.15689488788889025
qlearning_balancer[lru],20,3,0.15935,0.16950591205343912
qlearning_balancer[oracle],20,3,0.21674,0.19148648880849725
qlearning_balancer[nocache],20,3,0.0,0.1377351964768143
Optimal_QLRU,20,4,0.27454,0.2697096746752196
qlearning_balancer[qlearn],20,4,0.12234,0.12305002848917249
qlearning_balancer[lru],20,4,0.15671,0.14576966069536443
qlearning_balancer[oracle],20,4,0.21604,0.16124411465995084
qlearning_balancer[nocache],20,4,0.0,0.11992557065071852
Optimal_QLRU,100,0,0.18104,0.043511437987860606
qlearning_balancer[qlearn],100,0,0.13203,0.054684080825427486
qlearning_balancer[lru],100,0,0.15831,0.048770524605768334
qlearning_balancer[oracle],100,0,0.21526,0.05645977386327541
qlearning_balancer[nocache],100,0,0.0,0.03476239439010969
Optimal_QLRU,100,1,0.16314,0.04174165411090618
qlearning_balancer[qlearn],100,1,0.13223,0.034079202392593655
qlearning_balancer[lru],100,1,0.15691,0.02901674107740864
qlearning_balancer[oracle],100,1,0.21464,0.03407920256558313
qlearning_balancer[nocache],100,1,0.0,0.024587803060835765
Optimal_QLRU,100,2,0.16554,0.04225854930128116
qlearning_balancer[qlearn],100,2,0.13556,0.04025292312137632
qlearning_balancer[lru],100,2,0.15626,0.035107373314831526
qlearning_balancer[oracle],100,2,0.2139,0.04028776885480203
qlearning_balancer[nocache],100,2,0.0,0.028040839517687127
Optimal_QLRU,100,3,0.19644,0.045427092384362336
qlearning_balancer[qlearn],100,3,0.12949,0.033291692912132936
qlearning_balancer[lru],100,3,0.15935,0.03509261660349553
qlearning_balancer[oracle],100,3,0.21674,0.040023036839943356
qlearning_balancer[nocache],100,3,0.0,0.02810975393054037
Optimal_QLRU,100,4,0.13842,0.03928207978286102
qlearning_balancer[qlearn],100,4,0.12502,0.03216810686843908
qlearning_balancer[lru],100,4,0.15671,0.029812294524619063
qlearning_balancer[oracle],100,4,0.21604,0.033182029987467436
qlearning_balancer[nocache],100,4,0.0,0.02430437151303115
Optimal_QLRU,200,0,0.1376,0.019676567305388876
qlearning_balancer[qlearn],200,0,0.13158,0.028270523927290427
qlearning_balancer[lru],200,0,0.15831,0.02458942126551006
qlearning_balancer[oracle],200,0,0.21526,0.0285383484580467
qlearning_balancer[nocache],200,0,0.0,0.01745480872442911
Optimal_QLRU,200,1,0.1094,0.01857504269816707
qlearning_balancer[qlearn],200,1,0.12752,0.017093623365391514
qlearning_balancer[lru],200,1,0.15691,0.014536739447738657
qlearning_balancer[oracle],200,1,0.21464,0.017093623365391688
qlearning_balancer[nocache],200,1,0.0,0.012311319942209086
Optimal_QLRU,200,2,0.13021,0.019538658982583394
qlearning_balancer[qlearn],200,2,0.12986,0.020283459864826225
qlearning_balancer[lru],200,2,0.15626,0.017644772404260343
qlearning_balancer[oracle],200,2,0.2139,0.02028347294395655
qlearning_balancer[nocache],200,2,0.0,0.014063488166681539
Optimal_QLRU,200,3,0.07121,0.017206145765668784
qlearning_balancer[qlearn],200,3,0.13229,0.019751940888683112
qlearning_balancer[lru],200,3,0.15935,0.017640710919796625
qlearning_balancer[oracle],200,3,0.21674,0.02015978578451029
qlearning_balancer[nocache],200,3,0.0,0.014101892712313316
Optimal_QLRU,200,4,0.11017,0.01856309897214118
qlearning_balancer[qlearn],200,4,0.12709,0.015122264442408655
qlearning_balancer[lru],200,4,0.15671,0.01493891496538802
qlearning_balancer[oracle],200,4,0.21604,0.016637779127081365
qlearning_balancer[nocache],200,4,0.0,0.012167917208014814
Optimal_QLRU,1000,0,0.02726,0.003195421635773237
qlearning_balancer[qlearn],1000,0,0.13662,0.005561948505888667
