algorithm,hit_rate,jfi,angle_degrees,traffic_type,num_servers,capacity,num_requests,run_id,skew_fraction,workload_mode
Optimal_QLRU,0.1766,0.9997507950081616,0.9045218052703762,irm,2,10,10000,0,0.0,uniform
qlearning_balancer[qlearn],0.0563,0.9927019696476087,4.900666324463328,irm,2,10,10000,0,0.0,uniform
qlearning_balancer[lru],0.0886,0.9748863983173078,9.118258301980598,irm,2,10,10000,0,0.0,uniform
qlearning_balancer[oracle],0.0944,0.9902272880446726,5.673356867596879,irm,2,10,10000,0,0.0,uniform
qlearning_balancer[nocache],0.0,0.9677130156566517,10.351458699072229,irm,2,10,10000,0,0.0,uniform
Optimal_QLRU,0.1155,0.9992207807202689,1.599590790443868,irm,2,10,10000,2,0.0,uniform
qlearning_balancer[qlearn],0.1014,0.9990231264587597,1.7910699175754656,irm,2,10,10000,2,0.0,uniform
qlearning_balancer[lru],0.0853,0.9969694424754769,3.155756617818297,irm,2,10,10000,2,0.0,uniform
qlearning_balancer[oracle],0.098,0.9998268378953495,0.7539830711182942,irm,2,10,10000,2,0.0,uniform
qlearning_balancer[nocache],0.0,0.9859283064253029,6.812706143625725,irm,2,10,10000,2,0.0,uniform
Optimal_QLRU,0.1388,0.9990893678251345,1.7292590756093844,irm,2,10,10000,5,0.0,uniform
qlearning_balancer[qlearn],0.095,0.9998571657454064,0.6847769889098889,irm,2,10,10000,5,0.0,uniform
qlearning_balancer[lru],0.0883,0.9973563048945735,2.9472695603535404,irm,2,10,10000,5,0.0,uniform
qlearning_balancer[oracle],0.0873,0.9998532857673217,0.6940158288718367,irm,2,10,10000,5,0.0,uniform
qlearning_balancer[nocache],0.0,0.995785766212246,3.72209500082276,irm,2,10,10000,5,0.0,uniform
Optimal_QLRU,0.1736,0.999596670154698,1.1507527213712785,irm,2,10,10000,3,0.0,uniform
qlearning_balancer[qlearn],0.0715,0.975276396448164,9.046581906899444,irm,2,10,10000,3,0.0,uniform
qlearning_balancer[lru],0.075,0.9698097998421518,10.006114515026232,irm,2,10,10000,3,0.0,uniform
qlearning_balancer[oracle],0.0842,0.978000693518161,8.529675180283517,irm,2,10,10000,3,0.0,uniform
qlearning_balancer[nocache],0.0,0.9452787225526786,13.528310518093235,irm,2,10,10000,3,0.0,uniform
Optimal_QLRU,0.1774,0.9999997635482843,0.02786081934304096,irm,2,10,10000,1,0.0,uniform
qlearning_balancer[qlearn],0.0554,0.9137275317160051,17.080903920507584,irm,2,10,10000,1,0.0,uniform
qlearning_balancer[lru],0.0859,0.9302018244353282,15.319032593468194,irm,2,10,10000,1,0.0,uniform
qlearning_balancer[oracle],0.0974,0.9335491900041715,14.938408264717081,irm,2,10,10000,1,0.0,uniform
qlearning_balancer[nocache],0.0,0.912266099308841,17.22945396471646,irm,2,10,10000,1,0.0,uniform
Optimal_QLRU,0.1778,0.9999053362040918,0.5574699245857484,irm,2,10,10000,11,0.0,uniform
qlearning_balancer[qlearn],0.0729,0.9945380973143062,4.238290798479156,irm,2,10,10000,11,0.0,uniform
qlearning_balancer[lru],0.0824,0.9900567105617184,5.722819270633308,irm,2,10,10000,11,0.0,uniform
qlearning_balancer[oracle],0.0911,0.9996110558346695,1.130041569328455,irm,2,10,10000,11,0.0,uniform
qlearning_balancer[nocache],0.0,0.9918680924330419,5.173795028991637,irm,2,10,10000,11,0.0,uniform
Optimal_QLRU,0.1684,0.995549758358858,3.825049635493056,irm,2,10,10000,8,0.0,uniform
qlearning_balancer[qlearn],0.0701,0.999839852254754,0.7250945472630693,irm,2,10,10000,8,0.0,uniform
qlearning_balancer[lru],0.0836,0.9990418082046153,1.7738554920908685,irm,2,10,10000,8,0.0,uniform
qlearning_balancer[oracle],0.0796,0.9999834754468997,0.2329102974399975,irm,2,10,10000,8,0.0,uniform
qlearning_balancer[nocache],0.0,0.9993012313350463,1.5147464199326648,irm,2,10,10000,8,0.0,uniform
Optimal_QLRU,0.1505,0.9988279398673262,1.9619252306967276,irm,2,10,10000,4,0.0,uniform
qlearning_balancer[qlearn],0.0652,0.9614041110808815,11.3299297819014,irm,2,10,10000,4,0.0,uniform
qlearning_balancer[lru],0.0841,0.9625948178596806,11.151516087914294,irm,2,10,10000,4,0.0,uniform
qlearning_balancer[oracle],0.0827,0.9711927989693259,9.771937481792017,irm,2,10,10000,4,0.0,uniform
qlearning_balancer[nocache],0.0,0.9479202673283473,13.19170062933299,irm,2,10,10000,4,0.0,uniform
Optimal_QLRU,0.1816,0.9997239252668563,0.9520416490316264,irm,2,10,10000,6,0.0,uniform
qlearning_balancer[qlearn],0.0685,0.9945618124127833,4.229062864586457,irm,2,10,10000,6,0.0,uniform
qlearning_balancer[lru],0.0809,0.9952697798151745,3.9437219808257082,irm,2,10,10000,6,0.0,uniform
qlearning_balancer[oracle],0.0842,0.9835793798411376,7.362294670673546,irm,2,10,10000,6,0.0,uniform
qlearning_balancer[nocache],0.0,0.9971970576997601,3.0348190660823464,irm,2,10,10000,6,0.0,uniform
Optimal_QLRU,0.1535,0.9993672525606614,1.4413970901083084,irm,2,10,10000,7,0.0,uniform
qlearning_balancer[qlearn],0.0826,0.9995990878918832,1.1472980146100935,irm,2,10,10000,7,0.0,uniform
qlearning_balancer[lru],0.0829,0.9986934181857968,2.0715029488019683,irm,2,10,10000,7,0.0,uniform
qlearning_balancer[oracle],0.0843,0.9984376940501202,2.2652640048670785,irm,2,10,10000,7,0.0,uniform
qlearning_balancer[nocache],0.0,0.9971937756534843,3.0365969894783444,irm,2,10,10000,7,0.0,uniform
Optimal_QLRU,0.1452,0.9999945257000863,0.13405632887726202,irm,2,10,10000,14,0.0,uniform
qlearning_balancer[qlearn],0.0846,0.9998825759319486,0.6208828918702319,irm,2,10,10000,14,0.0,uniform
qlearning_balancer[lru],0.0837,0.99619375389435,3.5370968852463647,irm,2,10,10000,14,0.0,uniform
qlearning_balancer[oracle],0.0903,0.997153415276239,3.05837649774965,irm,2,10,10000,14,0.0,uniform
qlearning_balancer[nocache],0.0,0.9877972102865306,6.3421928294083045,irm,2,10,10000,14,0.0,uniform
Optimal_QLRU,0.139,0.9985331555340041,2.1949311232042303,irm,2,10,10000,9,0.0,uniform
qlearning_balancer[qlearn],0.0892,0.9237950184066469,16.024745979899524,irm,2,10,10000,9,0.0,uniform
qlearning_balancer[lru],0.0758,0.9278185659931651,15.584903094331063,irm,2,10,10000,9,0.0,uniform
qlearning_balancer[oracle],0.0827,0.942313463792192,13.897177103016421,irm,2,10,10000,9,0.0,uniform
qlearning_balancer[nocache],0.0,0.9296170227091721,15.384654983693634,irm,2,10,10000,9,0.0,uniform
Optimal_QLRU,0.1627,0.9987264185280953,2.045164410130891,irm,2,10,10000,10,0.0,uniform
qlearning_balancer[qlearn],0.0802,0.9998784253155683,0.6317612846929852,irm,2,10,10000,10,0.0,uniform
qlearning_balancer[lru],0.0803,0.9991523519897294,1.6683677251348445,irm,2,10,10000,10,0.0,uniform
qlearning_balancer[oracle],0.0792,0.9998650959589566,0.6654951229875868,irm,2,10,10000,10,0.0,uniform
qlearning_balancer[nocache],0.0,0.9980795414880728,2.511679393557682,irm,2,10,10000,10,0.0,uniform
Optimal_QLRU,0.1655,0.9980485756068067,2.531860930215959,irm,2,10,10000,17,0.0,uniform
qlearning_balancer[qlearn],0.0915,0.9942932721302005,4.332415968275751,irm,2,10,10000,17,0.0,uniform
qlearning_balancer[lru],0.0799,0.9998645888440015,0.6667448304516524,irm,2,10,10000,17,0.0,uniform
qlearning_balancer[oracle],0.0778,0.9996827705327428,1.02054546659508,irm,2,10,10000,17,0.0,uniform
qlearning_balancer[nocache],0.0,0.9974964327871696,2.8680296769719553,irm,2,10,10000,17,0.0,uniform
Optimal_QLRU,0.1796,0.9988530621270382,1.9407769803647439,irm,2,10,10000,18,0.0,uniform
qlearning_balancer[qlearn],0.0407,0.9998824970751681,0.6210913437093891,irm,2,10,10000,18,0.0,uniform
qlearning_balancer[lru],0.0789,0.9985890239738758,2.152705559945406,irm,2,10,10000,18,0.0,uniform
qlearning_balancer[oracle],0.0768,0.9999891364008912,0.18884708438869274,irm,2,10,10000,18,0.0,uniform
qlearning_balancer[nocache],0.0,0.9998298545042676,0.747386376122789,irm,2,10,10000,18,0.0,uniform
Optimal_QLRU,0.1727,0.9999754398509384,0.28394871608990224,irm,2,10,10000,19,0.0,uniform
qlearning_balancer[qlearn],0.0636,0.993237170565743,4.717127095832635,irm,2,10,10000,19,0.0,uniform
qlearning_balancer[lru],0.0829,0.9813150428240854,7.8565252508049,irm,2,10,10000,19,0.0,uniform
qlearning_balancer[oracle],0.0889,0.9932350704799253,4.717861111783031,irm,2,10,10000,19,0.0,uniform
qlearning_balancer[nocache],0.0,0.9722519142613324,9.588890800560515,irm,2,10,10000,19,0.0,uniform
Optimal_QLRU,0.1524,0.9999278474374149,0.48669147064461726,irm,2,10,10000,13,0.0,uniform
qlearning_balancer[qlearn],0.0748,0.9975442089619785,2.840509550656337,irm,2,10,10000,13,0.0,uniform
qlearning_balancer[lru],0.0832,0.9975585467396927,2.832198681956524,irm,2,10,10000,13,0.0,uniform
qlearning_balancer[oracle],0.0873,0.9965854114744928,3.3499574196888036,irm,2,10,10000,13,0.0,uniform
qlearning_balancer[nocache],0.0,0.9984447791404023,2.260118986255726,irm,2,10,10000,13,0.0,uniform
Optimal_QLRU,0.144,0.9998635438215372,0.6693127716094001,irm,2,10,10000,12,0.0,uniform
qlearning_balancer[qlearn],0.0765,0.9903605854439692,5.634406349612052,irm,2,10,10000,12,0.0,uniform
qlearning_balancer[lru],0.0803,0.9809624193795385,7.930785746112515,irm,2,10,10000,12,0.0,uniform
qlearning_balancer[oracle],0.0828,0.9950148323790898,4.048778471652562,irm,2,10,10000,12,0.0,uniform
qlearning_balancer[nocache],0.0,0.9785104002661383,8.429555381850548,irm,2,10,10000,12,0.0,uniform
Optimal_QLRU,0.1654,0.9995350713742929,1.2355190160739697,irm,2,10,10000,22,0.0,uniform
qlearning_balancer[qlearn],0.0683,0.9966917210439934,3.2973378345250066,irm,2,10,10000,22,0.0,uniform
qlearning_balancer[lru],0.0815,0.9999906607572371,0.17509717556413112,irm,2,10,10000,22,0.0,uniform
qlearning_balancer[oracle],0.0915,0.9967200427766285,3.2831779287376297,irm,2,10,10000,22,0.0,uniform
qlearning_balancer[nocache],0.0,0.9984424273040073,2.2618281270633256,irm,2,10,10000,22,0.0,uniform
Optimal_QLRU,0.1796,0.9999994651266435,0.041903292998676754,irm,2,10,10000,15,0.0,uniform
qlearning_balancer[qlearn],0.095,0.9695337617834362,10.052227885838423,irm,2,10,10000,15,0.0,uniform
qlearning_balancer[lru],0.0804,0.9550297526683902,12.243211990185017,irm,2,10,10000,15,0.0,uniform
qlearning_balancer[oracle],0.0784,0.9649872809598644,10.784574998858034,irm,2,10,10000,15,0.0,uniform
qlearning_balancer[nocache],0.0,0.9464052907511132,13.385711934813774,irm,2,10,10000,15,0.0,uniform
Optimal_QLRU,0.1489,0.9999744750650099,0.2894721603524577,irm,2,10,10000,16,0.0,uniform
qlearning_balancer[qlearn],0.0867,0.9999998866530063,0.019289796388012877,irm,2,10,10000,16,0.0,uniform
qlearning_balancer[lru],0.0772,0.9992789126415694,1.5387525342703439,irm,2,10,10000,16,0.0,uniform
qlearning_balancer[oracle],0.0746,0.9999986168260756,0.06738467359896111,irm,2,10,10000,16,0.0,uniform
qlearning_balancer[nocache],0.0,0.9989716665070337,1.8376554388286686,irm,2,10,10000,16,0.0,uniform
Optimal_QLRU,0.1502,0.9999997784425118,0.026969063446600224,irm,2,10,10000,25,0.0,uniform
qlearning_balancer[qlearn],0.0703,0.9793698731139764,8.258064414447395,irm,2,10,10000,25,0.0,uniform
qlearning_balancer[lru],0.0872,0.9629667521626238,11.095228468394241,irm,2,10,10000,25,0.0,uniform
qlearning_balancer[oracle],0.0978,0.979034241633983,8.325441537689578,irm,2,10,10000,25,0.0,uniform
qlearning_balancer[nocache],0.0,0.9721300438796155,9.610124341365298,irm,2,10,10000,25,0.0,uniform
Optimal_QLRU,0.1897,0.999953930479403,0.3888954066224464,irm,2,10,10000,26,0.0,uniform
qlearning_balancer[qlearn],0.0612,0.9988463125796636,1.9464813772932072,irm,2,10,10000,26,0.0,uniform
qlearning_balancer[lru],0.0807,0.9994675932122874,1.3221568173746303,irm,2,10,10000,26,0.0,uniform
qlearning_balancer[oracle],0.0876,0.9942166455364718,4.361461484993409,irm,2,10,10000,26,0.0,uniform
qlearning_balancer[nocache],0.0,0.9992054178012665,1.6152865563200758,irm,2,10,10000,26,0.0,uniform
Optimal_QLRU,0.1926,0.9990725516104277,1.745157636218441,irm,2,10,10000,27,0.0,uniform
qlearning_balancer[qlearn],0.1073,0.9966632146222115,3.3115292077883884,irm,2,10,10000,27,0.0,uniform
