algorithm,hit_rate,jfi,angle_degrees,traffic_type,num_servers,capacity,num_requests,run_id,skew_fraction,workload_mode
Optimal_QLRU,0.0768,0.9999172189315235,0.5213076982821097,irm,2,1000,10000,5,0.0,uniform
qlearning_balancer[qlearn],0.1019,0.9873433447400671,6.459553634447458,irm,2,1000,10000,5,0.0,uniform
qlearning_balancer[lru],0.2061,0.9481809084383787,13.158054910686507,irm,2,1000,10000,5,0.0,uniform
qlearning_balancer[oracle],0.2073,0.9647162706105518,10.826734678945858,irm,2,1000,10000,5,0.0,uniform
qlearning_balancer[nocache],0.0,0.9797879491010684,8.17338178956649,irm,2,1000,10000,5,0.0,uniform
Optimal_QLRU,0.0467,0.9996235383470714,1.111757985976043,irm,2,1000,10000,10,0.0,uniform
qlearning_balancer[qlearn],0.1229,0.9960020688196576,3.6251843331662426,irm,2,1000,10000,10,0.0,uniform
qlearning_balancer[lru],0.1968,0.9979617360857364,2.5876199161688223,irm,2,1000,10000,10,0.0,uniform
qlearning_balancer[oracle],0.2006,0.9981246542324108,2.481984952775913,irm,2,1000,10000,10,0.0,uniform
qlearning_balancer[nocache],0.0,0.99974475450261,0.915419489223778,irm,2,1000,10000,10,0.0,uniform
Optimal_QLRU,0.0364,0.9999972429465527,0.09513611765176544,irm,2,1000,10000,8,0.0,uniform
qlearning_balancer[qlearn],0.1935,0.9988550822130121,1.9390664417744403,irm,2,1000,10000,8,0.0,uniform
qlearning_balancer[lru],0.1896,0.9993202761227156,1.4939570351946727,irm,2,1000,10000,8,0.0,uniform
qlearning_balancer[oracle],0.1881,0.9999837403656218,0.23103575542830904,irm,2,1000,10000,8,0.0,uniform
qlearning_balancer[nocache],0.0,0.987678092016,6.373200179190802,irm,2,1000,10000,8,0.0,uniform
Optimal_QLRU,0.042,0.999858415017787,0.6817756349268111,irm,2,1000,10000,11,0.0,uniform
qlearning_balancer[qlearn],0.1263,0.9764750727700999,8.822759667094676,irm,2,1000,10000,11,0.0,uniform
qlearning_balancer[lru],0.1977,0.9885925817930723,6.131200043675196,irm,2,1000,10000,11,0.0,uniform
qlearning_balancer[oracle],0.2002,0.9890829641167257,5.997474153064608,irm,2,1000,10000,11,0.0,uniform
qlearning_balancer[nocache],0.0,0.9884194168643736,6.177740471194636,irm,2,1000,10000,11,0.0,uniform
Optimal_QLRU,0.0628,0.9999977685326212,0.08558902225060869,irm,2,1000,10000,0,0.0,uniform
qlearning_balancer[qlearn],0.1759,0.99982901262029,0.7492332424499623,irm,2,1000,10000,0,0.0,uniform
qlearning_balancer[lru],0.1976,0.9999266148331167,0.49083111670678,irm,2,1000,10000,0,0.0,uniform
qlearning_balancer[oracle],0.1957,0.9999048876543393,0.5587891480236166,irm,2,1000,10000,0,0.0,uniform
qlearning_balancer[nocache],0.0,0.997026163620923,3.126055296253068,irm,2,1000,10000,0,0.0,uniform
Optimal_QLRU,0.0705,0.999999062468597,0.05547733776106349,irm,2,1000,10000,2,0.0,uniform
qlearning_balancer[qlearn],0.1216,0.993174044685041,4.739141470823295,irm,2,1000,10000,2,0.0,uniform
qlearning_balancer[lru],0.1946,0.9930894140510601,4.7684973542118465,irm,2,1000,10000,2,0.0,uniform
qlearning_balancer[oracle],0.1928,0.9969055039428978,3.1889069051236074,irm,2,1000,10000,2,0.0,uniform
qlearning_balancer[nocache],0.0,0.9901870335557502,5.6850677558986185,irm,2,1000,10000,2,0.0,uniform
Optimal_QLRU,0.0862,0.9999700618679881,0.3134997139966735,irm,2,1000,10000,1,0.0,uniform
qlearning_balancer[qlearn],0.1106,0.9967962574026722,3.244767682148073,irm,2,1000,10000,1,0.0,uniform
qlearning_balancer[lru],0.1986,0.9982762345253552,2.379504720152875,irm,2,1000,10000,1,0.0,uniform
qlearning_balancer[oracle],0.2005,0.9929844239549735,4.804668362924131,irm,2,1000,10000,1,0.0,uniform
qlearning_balancer[nocache],0.0,0.9943634623201055,4.305639570045455,irm,2,1000,10000,1,0.0,uniform
Optimal_QLRU,0.0607,0.999946040725482,0.4208812602126333,irm,2,1000,10000,3,0.0,uniform
qlearning_balancer[qlearn],0.0987,0.9829440037650522,7.504184902195603,irm,2,1000,10000,3,0.0,uniform
qlearning_balancer[lru],0.2045,0.9869807443015078,6.551829800163337,irm,2,1000,10000,3,0.0,uniform
qlearning_balancer[oracle],0.203,0.9874924717166352,6.421224958551759,irm,2,1000,10000,3,0.0,uniform
qlearning_balancer[nocache],0.0,0.9895901492405464,5.856002680357349,irm,2,1000,10000,3,0.0,uniform
Optimal_QLRU,0.0535,0.9997455501859824,0.9139914238902,irm,2,1000,10000,7,0.0,uniform
qlearning_balancer[qlearn],0.0736,0.9994543340259058,1.3385221849522007,irm,2,1000,10000,7,0.0,uniform
qlearning_balancer[lru],0.1971,0.997087647651153,3.0935391693734693,irm,2,1000,10000,7,0.0,uniform
qlearning_balancer[oracle],0.1975,0.9986028459514069,2.1421306756579312,irm,2,1000,10000,7,0.0,uniform
qlearning_balancer[nocache],0.0,0.9997978649572361,0.8146256299855301,irm,2,1000,10000,7,0.0,uniform
Optimal_QLRU,0.0484,0.9999978355564451,0.0842938560795311,irm,2,1000,10000,4,0.0,uniform
qlearning_balancer[qlearn],0.1572,0.9771124013578977,8.701487237174103,irm,2,1000,10000,4,0.0,uniform
qlearning_balancer[lru],0.1937,0.9789483225600503,8.342604540001716,irm,2,1000,10000,4,0.0,uniform
qlearning_balancer[oracle],0.1927,0.9861510384146684,6.758320577121204,irm,2,1000,10000,4,0.0,uniform
qlearning_balancer[nocache],0.0,0.9737475731295575,9.324512504397044,irm,2,1000,10000,4,0.0,uniform
Optimal_QLRU,0.0813,0.9995310192718974,1.2408922794267059,irm,2,1000,10000,6,0.0,uniform
qlearning_balancer[qlearn],0.112,0.9964046472018263,3.4375891720531095,irm,2,1000,10000,6,0.0,uniform
qlearning_balancer[lru],0.1997,0.9880879649240382,6.265873559828423,irm,2,1000,10000,6,0.0,uniform
qlearning_balancer[oracle],0.2055,0.9896313575835054,5.844359978668366,irm,2,1000,10000,6,0.0,uniform
qlearning_balancer[nocache],0.0,0.9990786465832415,1.7394120328475684,irm,2,1000,10000,6,0.0,uniform
Optimal_QLRU,0.0298,0.9994672271880626,1.3226113046534567,irm,2,1000,10000,9,0.0,uniform
qlearning_balancer[qlearn],0.0896,0.9892649299563046,5.947099171440118,irm,2,1000,10000,9,0.0,uniform
qlearning_balancer[lru],0.1919,0.9813190223200102,7.855683287614904,irm,2,1000,10000,9,0.0,uniform
qlearning_balancer[oracle],0.1945,0.9866193286574191,6.642550987640183,irm,2,1000,10000,9,0.0,uniform
qlearning_balancer[nocache],0.0,0.9918501231762339,5.179523804754367,irm,2,1000,10000,9,0.0,uniform
Optimal_QLRU,0.0808,0.9992370151487664,1.5828356825673577,irm,2,1000,10000,12,0.0,uniform
qlearning_balancer[qlearn],0.1392,0.9882213519411377,6.230553482196136,irm,2,1000,10000,12,0.0,uniform
qlearning_balancer[lru],0.2075,0.9994683658436544,1.3211969386047702,irm,2,1000,10000,12,0.0,uniform
qlearning_balancer[oracle],0.2022,0.9948916482438999,4.098580591216262,irm,2,1000,10000,12,0.0,uniform
qlearning_balancer[nocache],0.0,0.9998828635374503,0.6201220351049597,irm,2,1000,10000,12,0.0,uniform
Optimal_QLRU,0.068,0.999697958228005,0.9958134827663893,irm,2,1000,10000,13,0.0,uniform
qlearning_balancer[qlearn],0.1084,0.9994394267756869,1.3566861497220815,irm,2,1000,10000,13,0.0,uniform
qlearning_balancer[lru],0.1873,0.9995468091101769,1.2198207771257956,irm,2,1000,10000,13,0.0,uniform
qlearning_balancer[oracle],0.1876,0.9999219738386019,0.5061140586666211,irm,2,1000,10000,13,0.0,uniform
qlearning_balancer[nocache],0.0,0.9975741478578254,2.8231278165437135,irm,2,1000,10000,13,0.0,uniform
Optimal_QLRU,0.0528,0.9994310339795561,1.3668063548393903,irm,2,1000,10000,14,0.0,uniform
qlearning_balancer[qlearn],0.1175,0.9624526767338399,11.172956284950946,irm,2,1000,10000,14,0.0,uniform
qlearning_balancer[lru],0.1952,0.981574406355498,7.801465081580223,irm,2,1000,10000,14,0.0,uniform
qlearning_balancer[oracle],0.1914,0.9800028676406272,8.129515534602856,irm,2,1000,10000,14,0.0,uniform
qlearning_balancer[nocache],0.0,0.9593553847223435,11.630836468765736,irm,2,1000,10000,14,0.0,uniform
Optimal_QLRU,0.0471,0.9991311586356819,1.6891016483214887,irm,2,1000,10000,15,0.0,uniform
qlearning_balancer[qlearn],0.1138,0.9996569252363464,1.061309018137153,irm,2,1000,10000,15,0.0,uniform
qlearning_balancer[lru],0.197,0.9998953482289533,0.5861428866968541,irm,2,1000,10000,15,0.0,uniform
qlearning_balancer[oracle],0.2,0.9999414282759261,0.43850129063452614,irm,2,1000,10000,15,0.0,uniform
qlearning_balancer[nocache],0.0,0.9991020666009875,1.71715583997917,irm,2,1000,10000,15,0.0,uniform
Optimal_QLRU,0.0634,0.9998518720338503,0.6973517334300602,irm,2,1000,10000,17,0.0,uniform
qlearning_balancer[qlearn],0.0844,0.981694698808302,7.775799215880835,irm,2,1000,10000,17,0.0,uniform
qlearning_balancer[lru],0.1976,0.9586790576074158,11.728568996072848,irm,2,1000,10000,17,0.0,uniform
qlearning_balancer[oracle],0.1987,0.9608495128126544,11.412127244719048,irm,2,1000,10000,17,0.0,uniform
qlearning_balancer[nocache],0.0,0.9828650713764537,7.521629142941776,irm,2,1000,10000,17,0.0,uniform
Optimal_QLRU,0.075,0.9994448780904441,1.3500722350402454,irm,2,1000,10000,18,0.0,uniform
qlearning_balancer[qlearn],0.0666,0.9489114054044078,13.063327524346802,irm,2,1000,10000,18,0.0,uniform
qlearning_balancer[lru],0.201,0.9653892323071676,10.72175484547089,irm,2,1000,10000,18,0.0,uniform
qlearning_balancer[oracle],0.1971,0.9597598279229036,11.572020189906969,irm,2,1000,10000,18,0.0,uniform
qlearning_balancer[nocache],0.0,0.9570950950000947,11.954508090939543,irm,2,1000,10000,18,0.0,uniform
Optimal_QLRU,0.0676,0.9997481108312343,0.9093804491989697,irm,2,1000,10000,16,0.0,uniform
qlearning_balancer[qlearn],0.0835,0.9993523795074403,1.4582427005642076,irm,2,1000,10000,16,0.0,uniform
qlearning_balancer[lru],0.2069,0.9952742851881214,3.941840433031381,irm,2,1000,10000,16,0.0,uniform
