algorithm,num_servers,hit_rate_mean_%,hit_rate_std_%,jfi_mean,jfi_std,n_runs
q-LRU,2,6.05,1.7,0.9996,0.0005,30
LRU,2,19.76,0.49,0.9881,0.013,30
No Caching,2,0.0,0.0,0.988,0.013,30
OPT,2,19.79,0.5,0.9884,0.0114,30
Q-learning,2,12.19,3.13,0.9891,0.0121,30
q-LRU,10,8.94,1.2,0.9974,0.0014,30
LRU,10,19.76,0.49,0.8975,0.035,30
No Caching,10,0.0,0.0,0.9082,0.0311,30
OPT,10,13.77,0.54,0.893,0.0407,30
Q-learning,10,11.69,3.46,0.8964,0.0357,30
q-LRU,20,10.09,1.11,0.9947,0.0016,30
LRU,20,19.76,0.49,0.8034,0.0411,30
No Caching,20,0.0,0.0,0.8199,0.0382,30
OPT,20,10.61,0.63,0.8111,0.0451,30
Q-learning,20,12.07,2.39,0.8132,0.043,30
q-LRU,100,12.35,0.71,0.9768,0.0028,30
LRU,100,19.76,0.49,0.4505,0.0335,30
No Caching,100,0.0,0.0,0.4892,0.0421,30
OPT,100,6.63,0.59,0.4771,0.0379,30
Q-learning,100,11.95,2.1,0.4667,0.0477,30
q-LRU,200,13.05,0.68,0.9566,0.0044,30
LRU,200,19.76,0.49,0.292,0.0198,30
No Caching,200,0.0,0.0,0.3219,0.0257,30
OPT,200,6.05,0.67,0.316,0.0218,30
Q-learning,200,11.6,2.29,0.3033,0.0253,30
q-LRU,1000,13.34,0.59,0.8168,0.0077,30
LRU,1000,19.76,0.49,0.0733,0.0041,30
No Caching,1000,0.0,0.0,0.0829,0.0056,30
OPT,1000,5.95,0.54,0.0814,0.0049,30
Q-learning,1000,11.88,2.19,0.0772,0.0045,30
