algorithm,num_servers,hit_rate_mean_%,hit_rate_std_%,jfi_mean,jfi_std,n_runs
q-LRU,2,45.73,,0.9999,,1
LRU,2,33.16,,0.9558,,1
No Caching,2,0.0,,0.9145,,1
OPT,2,36.8,,0.9994,,1
Q-learning,2,30.35,,0.9925,,1
q-LRU,10,42.65,,0.7117,,1
LRU,10,33.16,,0.5944,,1
No Caching,10,0.0,,0.495,,1
OPT,10,40.2,,0.6216,,1
Q-learning,10,27.66,,0.5764,,1
q-LRU,20,42.25,,0.6475,,1
LRU,20,33.16,,0.4419,,1
No Caching,20,0.0,,0.322,,1
OPT,20,44.27,,0.487,,1
Q-learning,20,29.66,,0.4553,,1
q-LRU,100,44.91,,0.2361,,1
LRU,100,33.16,,0.1383,,1
No Caching,100,0.0,,0.0798,,1
OPT,100,46.64,,0.1457,,1
Q-learning,100,30.14,,0.1133,,1
q-LRU,200,46.75,,0.1329,,1
LRU,200,33.16,,0.0749,,1
No Caching,200,0.0,,0.041,,1
OPT,200,47.52,,0.0752,,1
Q-learning,200,30.57,,0.0694,,1
q-LRU,1000,47.72,,0.0293,,1
LRU,1000,33.16,,0.0147,,1
No Caching,1000,0.0,,0.0081,,1
OPT,1000,47.71,,0.0134,,1
Q-learning,1000,30.57,,0.0141,,1
