algorithm,hit_rate,jfi,angle_degrees,traffic_type,num_servers,capacity,num_requests,run_id,skew_fraction,skew_mode,exclude_top_k,workload_mode
Optimal_QLRU,0.113321,0.6104462099783509,38.61927274589103,irm,2,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[qlearn],0.141855,0.5831623205187325,40.21290289807714,irm,2,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[lru],0.203633,0.5879637695169188,39.93368017116431,irm,2,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[oracle],0.201091,0.606249788044911,38.865562929994844,irm,2,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[nocache],0.0,0.5745229495303438,40.714180464225656,irm,2,1000,1000000,0,0.1,index,1000,uniform
Optimal_QLRU,0.096301,0.9992487823997844,1.5705794096909595,irm,10,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[qlearn],0.132681,0.9370926856031029,14.525644644997792,irm,10,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[lru],0.203633,0.9000682141109855,18.42843386736293,irm,10,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[oracle],0.254289,0.8842670770440545,19.888780481110725,irm,10,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[nocache],0.0,0.936710734697075,14.57064799550908,irm,10,1000,1000000,0,0.1,index,1000,uniform
Optimal_QLRU,0.094708,0.9750171302790533,9.094292352299941,irm,20,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[qlearn],0.128267,0.8578536288693465,22.149404240722582,irm,20,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[lru],0.203633,0.876529459825397,20.57197485726915,irm,20,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[oracle],0.252424,0.8406594556914582,23.526603200920864,irm,20,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[nocache],0.0,0.8697175549514576,21.158341094229804,irm,20,1000,1000000,0,0.1,index,1000,uniform
Optimal_QLRU,0.101717,0.7377189806384522,30.806065264102287,irm,100,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[qlearn],0.126427,0.46040315542903637,47.27111023911794,irm,100,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[lru],0.203633,0.4893208926782965,45.61191430768021,irm,100,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[oracle],0.167586,0.554504462891277,41.870906176439924,irm,100,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[nocache],0.0,0.46937064832794484,46.75603203942092,irm,100,1000,1000000,0,0.1,index,1000,uniform
Optimal_QLRU,0.077557,0.5543745971610282,41.87839143454057,irm,200,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[qlearn],0.124505,0.2995253732505942,56.81876715961707,irm,200,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[lru],0.203633,0.28380847614054017,57.80944483507164,irm,200,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[oracle],0.123347,0.3532698205767067,53.53261834585357,irm,200,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[nocache],0.0,0.3059614908288376,56.41744933527934,irm,200,1000,1000000,0,0.1,index,1000,uniform
Optimal_QLRU,0.057347,0.14590336505771648,67.54405214466078,irm,1000,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[qlearn],0.12319,0.08948705718001694,72.5938105399289,irm,1000,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[lru],0.203633,0.07242306076736703,74.38836938573576,irm,1000,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[oracle],0.108041,0.10311864012055796,71.26927356398453,irm,1000,1000,1000000,0,0.1,index,1000,uniform
qlearning_balancer[nocache],0.0,0.07851470286899358,73.72757469520859,irm,1000,1000,1000000,0,0.1,index,1000,uniform
