algorithm,hit_rate,jfi,angle_degrees,traffic_type,num_servers,capacity,num_requests,run_id,skew_fraction,skew_mode,exclude_top_k,workload_mode
Optimal_QLRU,0.0034,0.9995974281941727,1.1496706746856253,irm,2,10,10000,5,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0077,0.9933096965662892,4.691708192557421,irm,2,10,10000,5,0.0,index,10,uniform
qlearning_balancer[lru],0.0124,0.9933168689600744,4.689186993261584,irm,2,10,10000,5,0.0,index,10,uniform
qlearning_balancer[oracle],0.0122,0.9931822125597469,4.736298735760061,irm,2,10,10000,5,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9935147552390315,4.619089274746978,irm,2,10,10000,5,0.0,index,10,uniform
Optimal_QLRU,0.0308,0.9999099031279794,0.5438561084334498,irm,2,10,10000,8,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0054,0.9953034607041646,3.929634394988931,irm,2,10,10000,8,0.0,index,10,uniform
qlearning_balancer[lru],0.0089,0.9952097235343873,3.9687182136927666,irm,2,10,10000,8,0.0,index,10,uniform
qlearning_balancer[oracle],0.0104,0.9939375444346621,4.465670860655969,irm,2,10,10000,8,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9943742111087834,4.301524479478743,irm,2,10,10000,8,0.0,index,10,uniform
Optimal_QLRU,0.0095,0.9990402662135277,1.7752826827457024,irm,2,10,10000,9,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0059,0.9966988538119734,3.2937774020936144,irm,2,10,10000,9,0.0,index,10,uniform
qlearning_balancer[lru],0.0086,0.995898159607977,3.672056541661691,irm,2,10,10000,9,0.0,index,10,uniform
qlearning_balancer[oracle],0.0095,0.9966979560709534,3.2942257342844607,irm,2,10,10000,9,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9959149456183684,3.6645249554677877,irm,2,10,10000,9,0.0,index,10,uniform
Optimal_QLRU,0.0348,0.9994616960522374,1.3294603403375975,irm,2,10,10000,10,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0077,0.9977243734305725,2.7342485045829537,irm,2,10,10000,10,0.0,index,10,uniform
qlearning_balancer[lru],0.0104,0.9978081718377962,2.6833953401129844,irm,2,10,10000,10,0.0,index,10,uniform
qlearning_balancer[oracle],0.0139,0.9991135317877524,1.706154678735905,irm,2,10,10000,10,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9977244563080204,2.7341986761577064,irm,2,10,10000,10,0.0,index,10,uniform
Optimal_QLRU,0.0147,0.9999324222508262,0.4710091947526434,irm,2,10,10000,2,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0118,0.9979118526873213,2.6191143510226236,irm,2,10,10000,2,0.0,index,10,uniform
qlearning_balancer[lru],0.0097,0.9978906928967595,2.6323603157586146,irm,2,10,10000,2,0.0,index,10,uniform
qlearning_balancer[oracle],0.0099,0.9980803396999827,2.5111570324355847,irm,2,10,10000,2,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9980814770632824,2.5104125385703817,irm,2,10,10000,2,0.0,index,10,uniform
Optimal_QLRU,0.0394,0.9996332322280886,1.097348986837831,irm,2,10,10000,0,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0089,0.9989882814572549,1.822744284543047,irm,2,10,10000,0,0.0,index,10,uniform
qlearning_balancer[lru],0.0112,0.9998192103637055,0.7704110172827966,irm,2,10,10000,0,0.0,index,10,uniform
qlearning_balancer[oracle],0.0134,0.9993950989995664,1.4093166334208729,irm,2,10,10000,0,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9987845606507879,1.9979163190137657,irm,2,10,10000,0,0.0,index,10,uniform
Optimal_QLRU,0.043,0.9999825301763906,0.2394793975408462,irm,2,10,10000,1,0.0,index,10,uniform
qlearning_balancer[qlearn],0.0053,0.9976269321362591,2.7922199742142273,irm,2,10,10000,1,0.0,index,10,uniform
qlearning_balancer[lru],0.0118,0.998589766540381,2.152138757322286,irm,2,10,10000,1,0.0,index,10,uniform
qlearning_balancer[oracle],0.011,0.9978486309885085,2.6584955092310913,irm,2,10,10000,1,0.0,index,10,uniform
qlearning_balancer[nocache],0.0,0.9976272973352907,2.792004943863869,irm,2,10,10000,1,0.0,index,10,uniform
Optimal_QLRU,0.0403,0.9999695022707616,0.3164161137066172,irm,2,10,10000,3,0.0,index,10,uniform
