algorithm,hit_rate,jfi,angle_degrees,traffic_type,num_servers,capacity,num_requests,run_id,skew_fraction,workload_mode
Optimal_QLRU,0.0128,0.999660230103941,1.0561842270790835,irm,2,10,10000,1,0.0,uniform
qlearning_balancer[qlearn],0.013,0.997117931639728,3.0773975459787346,irm,2,10,10000,1,0.0,uniform
qlearning_balancer[lru],0.0118,0.9960462687625922,3.6050625200704367,irm,2,10,10000,1,0.0,uniform
qlearning_balancer[oracle],0.0118,0.9954958747502566,3.848171519376578,irm,2,10,10000,1,0.0,uniform
qlearning_balancer[nocache],0.0,0.9943634623201055,4.305639570045455,irm,2,10,10000,1,0.0,uniform
Optimal_QLRU,0.0043,0.9995679877958594,1.1909729982076025,irm,2,10,10000,5,0.0,uniform
qlearning_balancer[qlearn],0.0074,0.9797869654330567,8.173582035991792,irm,2,10,10000,5,0.0,uniform
qlearning_balancer[lru],0.0124,0.9798003053038348,8.170866016606512,irm,2,10,10000,5,0.0,uniform
qlearning_balancer[oracle],0.011,0.9798094790832462,8.168997710458845,irm,2,10,10000,5,0.0,uniform
qlearning_balancer[nocache],0.0,0.9797879491010684,8.17338178956649,irm,2,10,10000,5,0.0,uniform
Optimal_QLRU,0.0148,0.9993667438028946,1.4419765704630585,irm,2,10,10000,9,0.0,uniform
qlearning_balancer[qlearn],0.0044,0.9933286487641197,4.685043305509462,irm,2,10,10000,9,0.0,uniform
qlearning_balancer[lru],0.0086,0.991849729969909,5.179649092728948,irm,2,10,10000,9,0.0,uniform
qlearning_balancer[oracle],0.0092,0.9933286487953006,4.685043294536404,irm,2,10,10000,9,0.0,uniform
qlearning_balancer[nocache],0.0,0.9918501231762339,5.179523804754367,irm,2,10,10000,9,0.0,uniform
Optimal_QLRU,0.0345,0.999447531961695,1.3468406277327793,irm,2,10,10000,10,0.0,uniform
qlearning_balancer[qlearn],0.0038,0.9987449809393317,2.0301993127205993,irm,2,10,10000,10,0.0,uniform
qlearning_balancer[lru],0.0104,0.9992619481593351,1.556752252149956,irm,2,10,10000,10,0.0,uniform
qlearning_balancer[oracle],0.0123,0.9999981056782566,0.07885870513126644,irm,2,10,10000,10,0.0,uniform
qlearning_balancer[nocache],0.0,0.99974475450261,0.915419489223778,irm,2,10,10000,10,0.0,uniform
Optimal_QLRU,0.0236,0.9987746386533387,2.006057860705082,irm,2,10,10000,0,0.0,uniform
qlearning_balancer[qlearn],0.0145,0.9971392102509551,3.066005229661705,irm,2,10,10000,0,0.0,uniform
qlearning_balancer[lru],0.0112,0.9990737970889653,1.7439850865778366,irm,2,10,10000,0,0.0,uniform
qlearning_balancer[oracle],0.0132,0.9971977882755003,3.0344231633190635,irm,2,10,10000,0,0.0,uniform
qlearning_balancer[nocache],0.0,0.997026163620923,3.126055296253068,irm,2,10,10000,0,0.0,uniform
Optimal_QLRU,0.0369,0.9999067642137143,0.5532490796397991,irm,2,10,10000,3,0.0,uniform
qlearning_balancer[qlearn],0.0068,0.9902007452735602,5.681081400494653,irm,2,10,10000,3,0.0,uniform
qlearning_balancer[lru],0.0098,0.9901368570572672,5.699631921445728,irm,2,10,10000,3,0.0,uniform
qlearning_balancer[oracle],0.0119,0.9903553962899752,5.635927630206435,irm,2,10,10000,3,0.0,uniform
qlearning_balancer[nocache],0.0,0.9895901492405464,5.856002680357349,irm,2,10,10000,3,0.0,uniform
Optimal_QLRU,0.0308,0.9999754729672072,0.28375721540220805,irm,2,10,10000,2,0.0,uniform
qlearning_balancer[qlearn],0.0042,0.9901870335193803,5.685067766468636,irm,2,10,10000,2,0.0,uniform
qlearning_balancer[lru],0.0097,0.9900675210548587,5.719697076012983,irm,2,10,10000,2,0.0,uniform
qlearning_balancer[oracle],0.0099,0.9908323881436155,5.494352981799693,irm,2,10,10000,2,0.0,uniform
qlearning_balancer[nocache],0.0,0.9901870335557502,5.6850677558986185,irm,2,10,10000,2,0.0,uniform
Optimal_QLRU,0.0149,0.9999858929344829,0.21519986531291851,irm,2,10,10000,4,0.0,uniform
qlearning_balancer[qlearn],0.0113,0.9737668759638686,9.321053242062163,irm,2,10,10000,4,0.0,uniform
qlearning_balancer[lru],0.0108,0.972201741915011,9.597637829228454,irm,2,10,10000,4,0.0,uniform
qlearning_balancer[oracle],0.0096,0.973794106692327,9.316171114741476,irm,2,10,10000,4,0.0,uniform
qlearning_balancer[nocache],0.0,0.9737475731295575,9.324512504397044,irm,2,10,10000,4,0.0,uniform
