algorithm,capacity,hit_rate_mean_%,hit_rate_std_%,jfi_mean,jfi_std,n_runs
q-LRU,10,3.75,1.17,0.9999,0.0002,30
LRU,10,1.04,0.01,0.9888,0.0127,30
No Caching,10,0.0,0.0,0.9882,0.0129,30
OPT,10,1.09,0.08,0.9896,0.0122,30
Q-learning,10,0.94,0.02,0.9888,0.0128,30
q-LRU,30,5.3,1.53,0.9999,0.0002,30
LRU,30,2.79,0.02,0.9894,0.0122,30
No Caching,30,0.0,0.0,0.9882,0.0129,30
OPT,30,2.97,0.11,0.9898,0.0118,30
Q-learning,30,2.29,0.07,0.9901,0.0111,30
q-LRU,100,5.55,1.64,0.9999,0.0001,30
LRU,100,6.77,0.03,0.9902,0.0106,30
No Caching,100,0.0,0.0,0.9882,0.0129,30
OPT,100,7.43,0.05,0.9906,0.0123,30
Q-learning,100,4.77,0.13,0.9892,0.0122,30
q-LRU,300,6.52,1.6,0.9999,0.0002,30
LRU,300,12.21,0.03,0.9901,0.013,30
No Caching,300,0.0,0.0,0.9882,0.0129,30
OPT,300,13.14,0.04,0.9907,0.0121,30
Q-learning,300,8.0,0.18,0.99,0.0132,30
q-LRU,1000,7.12,1.32,0.9999,0.0001,30
LRU,1000,20.41,0.04,0.9891,0.0119,30
No Caching,1000,0.0,0.0,0.9882,0.0129,30
OPT,1000,21.63,0.03,0.9871,0.0144,30
Q-learning,1000,12.89,0.28,0.9872,0.0141,30
q-LRU,3000,8.96,1.69,0.9999,0.0001,30
LRU,3000,30.76,0.04,0.9845,0.018,30
No Caching,3000,0.0,0.0,0.9882,0.0129,30
OPT,3000,32.21,0.04,0.9843,0.0186,30
Q-learning,3000,19.16,0.37,0.9874,0.0169,30
q-LRU,10000,15.81,1.61,0.9999,0.0001,30
LRU,10000,46.68,0.05,0.9765,0.0321,30
No Caching,10000,0.0,0.0,0.9882,0.0129,30
OPT,10000,48.1,0.05,0.972,0.0398,30
Q-learning,10000,28.82,0.47,0.9836,0.0174,30
q-LRU,30000,35.05,1.51,0.9999,0.0001,30
LRU,30000,66.91,0.07,0.9686,0.0466,30
No Caching,30000,0.0,0.0,0.9882,0.0129,30
OPT,30000,67.12,0.05,0.9673,0.0411,30
Q-learning,30000,40.55,0.68,0.983,0.0245,30
