algorithm,hit_rate,jfi,angle_degrees,traffic_type,num_servers,capacity,num_requests,run_id,skew_fraction,workload_mode
Optimal_QLRU,0.6685,0.9997698192891595,0.8693081640784701,real,2,10,1000000,5,0.0,uniform
qlearning_balancer[qlearn],0.335927,0.9994823323886498,1.3037238375535116,real,2,10,1000000,5,0.0,uniform
qlearning_balancer[lru],0.57597,0.9617558863555107,11.277498840127482,real,2,10,1000000,5,0.0,uniform
qlearning_balancer[oracle],0.58373,0.9999464254176594,0.4193782540926832,real,2,10,1000000,5,0.0,uniform
qlearning_balancer[nocache],0.0,0.9966923230819731,3.2970374657843347,real,2,10,1000000,5,0.0,uniform
Optimal_QLRU,0.68816,0.9971402665647677,3.0654385929505645,real,2,10,1000000,8,0.0,uniform
qlearning_balancer[qlearn],0.388511,0.9998006633458212,0.8089666987169665,real,2,10,1000000,8,0.0,uniform
qlearning_balancer[lru],0.576,0.9687365959118134,10.184274157470156,real,2,10,1000000,8,0.0,uniform
qlearning_balancer[oracle],0.588117,0.9476592156475405,13.225319686894279,real,2,10,1000000,8,0.0,uniform
qlearning_balancer[nocache],0.0,0.9705631935501107,9.879206513648214,real,2,10,1000000,8,0.0,uniform
Optimal_QLRU,0.689648,0.9992223427908244,1.5979862511509464,real,2,10,1000000,6,0.0,uniform
qlearning_balancer[qlearn],0.398155,0.9998095610835527,0.7907046060691612,real,2,10,1000000,6,0.0,uniform
qlearning_balancer[lru],0.575532,0.9979942805308727,2.5668649107810664,real,2,10,1000000,6,0.0,uniform
qlearning_balancer[oracle],0.591809,0.9934993117222196,4.624597755846716,real,2,10,1000000,6,0.0,uniform
qlearning_balancer[nocache],0.0,0.9456215567117363,13.485063008418038,real,2,10,1000000,6,0.0,uniform
Optimal_QLRU,0.666055,0.9999986009163128,0.06777110707628661,real,2,10,1000000,11,0.0,uniform
qlearning_balancer[qlearn],0.468406,0.9943985187961892,4.292204029817603,real,2,10,1000000,11,0.0,uniform
qlearning_balancer[lru],0.575944,0.9689062318068017,10.156312641641154,real,2,10,1000000,11,0.0,uniform
qlearning_balancer[oracle],0.593004,0.9996087820739445,1.1333402870664913,real,2,10,1000000,11,0.0,uniform
qlearning_balancer[nocache],0.0,0.7705666738729559,28.619587944828307,real,2,10,1000000,11,0.0,uniform
Optimal_QLRU,0.656708,0.9999536188508705,0.39020851470001244,real,2,10,1000000,3,0.0,uniform
qlearning_balancer[qlearn],0.402021,0.9863679076812366,6.704950637724389,real,2,10,1000000,3,0.0,uniform
