algorithm,capacity,hit_rate_mean_%,hit_rate_std_%,jfi_mean,jfi_std,n_runs
q-LRU,10,68.28,1.34,0.9985,0.0027,30
LRU,10,57.58,0.05,0.9636,0.0344,30
No Caching,10,0.0,0.0,0.9308,0.0736,30
OPT,10,59.33,0.67,0.9833,0.0187,30
Q-learning,10,40.86,4.66,0.9955,0.0051,30
q-LRU,30,87.6,0.48,0.9996,0.0005,30
LRU,30,83.53,0.04,0.9518,0.058,30
No Caching,30,0.0,0.0,0.9308,0.0736,30
OPT,30,84.73,0.1,0.9464,0.0548,30
Q-learning,30,50.67,5.07,0.9956,0.0054,30
q-LRU,100,96.88,1.08,0.9996,0.0007,30
LRU,100,97.59,0.02,0.7432,0.176,30
No Caching,100,0.0,0.0,0.9308,0.0736,30
OPT,100,97.82,0.02,0.7125,0.1739,30
Q-learning,100,54.86,5.23,0.9892,0.0259,30
q-LRU,300,99.78,0.11,0.9968,0.0033,30
LRU,300,99.95,0.0,0.5001,0.0004,30
No Caching,300,0.0,0.0,0.9308,0.0736,30
OPT,300,99.93,0.0,0.5167,0.0913,30
Q-learning,300,55.22,5.12,0.9848,0.0284,30
q-LRU,1000,100.0,0.0,1.0,0.0,30
LRU,1000,99.96,0.0,0.7167,0.252,30
No Caching,1000,0.0,0.0,0.9308,0.0736,30
OPT,1000,99.93,0.0,0.5667,0.1729,30
Q-learning,1000,55.22,5.12,0.9848,0.0284,30
q-LRU,3000,100.0,0.0,1.0,0.0,30
LRU,3000,99.96,0.0,0.7167,0.252,30
No Caching,3000,0.0,0.0,0.9308,0.0736,30
OPT,3000,99.93,0.0,0.5667,0.1729,30
Q-learning,3000,55.22,5.12,0.9848,0.0284,30
q-LRU,10000,100.0,0.0,1.0,0.0,30
LRU,10000,99.96,0.0,0.7167,0.252,30
No Caching,10000,0.0,0.0,0.9308,0.0736,30
OPT,10000,99.93,0.0,0.5667,0.1729,30
Q-learning,10000,55.22,5.12,0.9848,0.0284,30
q-LRU,30000,100.0,0.0,1.0,0.0,30
LRU,30000,99.96,0.0,0.7167,0.252,30
No Caching,30000,0.0,0.0,0.9308,0.0736,30
OPT,30000,99.93,0.0,0.5667,0.1729,30
Q-learning,30000,55.22,5.12,0.9848,0.0284,30
