algorithm,capacity,run_id,hit_rate,jfi
Optimal_QLRU,10,0,0.061478,0.29090667753664673
qlearning_balancer[qlearn],10,0,0.008992,0.2466757801060244
qlearning_balancer[lru],10,0,0.010419,0.24915030059499244
qlearning_balancer[oracle],10,0,0.017038,0.25141119359071606
qlearning_balancer[nocache],10,0,0.0,0.2466685966105185
Optimal_QLRU,10,1,0.064069,0.29195759320214265
qlearning_balancer[qlearn],10,1,0.009248,0.27889881554193957
qlearning_balancer[lru],10,1,0.010328,0.2787772210435135
qlearning_balancer[oracle],10,1,0.016781,0.2789900780825216
qlearning_balancer[nocache],10,1,0.0,0.27648289316914354
Optimal_QLRU,10,2,0.065893,0.2925938556210633
qlearning_balancer[qlearn],10,2,0.009409,0.2640100476658008
qlearning_balancer[lru],10,2,0.010428,0.26400094147571396
qlearning_balancer[oracle],10,2,0.016842,0.26401049796918785
qlearning_balancer[nocache],10,2,0.0,0.26354177634561804
Optimal_QLRU,10,3,0.062895,0.29173301565873655
qlearning_balancer[qlearn],10,3,0.009243,0.25771139601678533
qlearning_balancer[lru],10,3,0.010489,0.25866555687285564
qlearning_balancer[oracle],10,3,0.016935,0.2586670492343997
qlearning_balancer[nocache],10,3,0.0,0.2577113960154446
Optimal_QLRU,10,4,0.067333,0.2940517034196263
qlearning_balancer[qlearn],10,4,0.009195,0.2914692215834784
qlearning_balancer[lru],10,4,0.010334,0.2939408758177142
qlearning_balancer[oracle],10,4,0.016797,0.2951994089813101
qlearning_balancer[nocache],10,4,0.0,0.2914480676006282
Optimal_QLRU,30,0,0.104318,0.3098475770428407
qlearning_balancer[qlearn],30,0,0.023496,0.25343267124416635
qlearning_balancer[lru],30,0,0.027717,0.25343171065661363
qlearning_balancer[oracle],30,0,0.042716,0.2554074197386668
qlearning_balancer[nocache],30,0,0.0,0.2466685966105185
Optimal_QLRU,30,1,0.107456,0.3113666700579218
qlearning_balancer[qlearn],30,1,0.024157,0.284968282644972
qlearning_balancer[lru],30,1,0.027947,0.28472981580045625
qlearning_balancer[oracle],30,1,0.042591,0.2934833869760249
qlearning_balancer[nocache],30,1,0.0,0.27648289316914354
Optimal_QLRU,30,2,0.107261,0.311143518273918
qlearning_balancer[qlearn],30,2,0.023458,0.2719950403245761
qlearning_balancer[lru],30,2,0.027804,0.26846123395991894
qlearning_balancer[oracle],30,2,0.042624,0.2719949858516345
qlearning_balancer[nocache],30,2,0.0,0.26354177634561804
Optimal_QLRU,30,3,0.103472,0.3097232707322493
qlearning_balancer[qlearn],30,3,0.022913,0.25771139601578347
qlearning_balancer[lru],30,3,0.027792,0.26055417898767586
qlearning_balancer[oracle],30,3,0.042322,0.26194601006800405
qlearning_balancer[nocache],30,3,0.0,0.2577113960154446
Optimal_QLRU,30,4,0.104425,0.3107328171322384
qlearning_balancer[qlearn],30,4,0.023267,0.299395453504886
qlearning_balancer[lru],30,4,0.027652,0.2976833973558445
qlearning_balancer[oracle],30,4,0.04246,0.30077317362657274
qlearning_balancer[nocache],30,4,0.0,0.2914480676006282
Optimal_QLRU,100,0,0.156272,0.3379603284274763
qlearning_balancer[qlearn],100,0,0.054805,0.2807770795175744
qlearning_balancer[lru],100,0,0.067808,0.26643890680568516
qlearning_balancer[oracle],100,0,0.093303,0.28080659026989946
qlearning_balancer[nocache],100,0,0.0,0.2466685966105185
Optimal_QLRU,100,1,0.154503,0.33688675779381305
qlearning_balancer[qlearn],100,1,0.053648,0.30980732467266187
qlearning_balancer[lru],100,1,0.067689,0.30649876316784236
qlearning_balancer[oracle],100,1,0.093141,0.3098073251885371
qlearning_balancer[nocache],100,1,0.0,0.27648289316914354
Optimal_QLRU,100,2,0.148097,0.3329433098035565
qlearning_balancer[qlearn],100,2,0.053835,0.26352278867235934
qlearning_balancer[lru],100,2,0.067321,0.2870328868881653
qlearning_balancer[oracle],100,2,0.092786,0.3003739722276811
qlearning_balancer[nocache],100,2,0.0,0.26354177634561804
Optimal_QLRU,100,3,0.148007,0.3333686594715202
qlearning_balancer[qlearn],100,3,0.054445,0.26619638141094226
qlearning_balancer[lru],100,3,0.067318,0.27025317614105654
qlearning_balancer[oracle],100,3,0.092777,0.2760794482137874
qlearning_balancer[nocache],100,3,0.0,0.2577113960154446
Optimal_QLRU,100,4,0.157624,0.3397748346289907
qlearning_balancer[qlearn],100,4,0.053551,0.31513099372432474
qlearning_balancer[lru],100,4,0.067528,0.31468822809642394
qlearning_balancer[oracle],100,4,0.092694,0.3335948049761487
